code,code,name,network,elevation_m,site_property,GEO_ID,STATE,NAME,LSAD,CENSUSAREA,geometry,x,y,depth,anomoly
1050_CA_SNTL,1050_CA_SNTL,Horse Meadow,SNOTEL,2608.173583984375,"{'county': 'Alpine', 'state': 'California', 'site_comments': 'beginDate=10/10/2003 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160502010302|HUD=16050201|TimeZone=-8.0|actonId=19L44S|shefId=HORC1|stationTriplet=1050:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.88732147216797 38.83652114868164),-119.88732147216797,38.83652114868164,28.0,-8.89473684210526
539_CA_SNTL,539_CA_SNTL,Independence Camp,SNOTEL,2127.50390625,"{'county': 'Sierra', 'state': 'California', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160501020102|HUD=16050102|TimeZone=-8.0|actonId=20K04S|shefId=ICPC1|stationTriplet=539:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-120.29367065429688 39.45269012451172),-120.29367065429688,39.45269012451172,22.0,-10.476190476190474
540_CA_SNTL,540_CA_SNTL,Independence Creek,SNOTEL,1961.6927490234375,"{'county': 'Sierra', 'state': 'California', 'site_comments': 'beginDate=10/1/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160501020102|HUD=16050102|TimeZone=-8.0|actonId=20K03S|shefId=ICKC1|stationTriplet=540:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-120.28225708007812 39.49000930786133),-120.28225708007812,39.49000930786133,18.0,-3.1304347826086953
541_CA_SNTL,541_CA_SNTL,Independence Lake,SNOTEL,2541.42236328125,"{'county': 'Nevada', 'state': 'California', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160501020104|HUD=16050102|TimeZone=-8.0|actonId=20K05S|shefId=ILKC1|stationTriplet=541:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-120.31342315673828 39.427520751953125),-120.31342315673828,39.427520751953125,71.0,-10.791666666666671
574_CA_SNTL,574_CA_SNTL,Leavitt Lake,SNOTEL,2927.29931640625,"{'county': 'Mono', 'state': 'California', 'site_comments': 'beginDate=10/1/1989 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160503020104|HUD=16050302|TimeZone=-8.0|actonId=19L38S|shefId=LELC1|stationTriplet=574:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.61280822753906 38.27593994140625),-119.61280822753906,38.27593994140625,93.0,-9.954545454545467
575_CA_SNTL,575_CA_SNTL,Leavitt Meadows,SNOTEL,2193.950439453125,"{'county': 'Mono', 'state': 'California', 'site_comments': 'beginDate=10/1/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160503020104|HUD=16050302|TimeZone=-8.0|actonId=19L08S|shefId=LVTC1|stationTriplet=575:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.55110931396484 38.30366897583008),-119.55110931396484,38.30366897583008,0.0,-7.913043478260871
633_CA_SNTL,633_CA_SNTL,Monitor Pass,SNOTEL,2531.668701171875,"{'county': 'Alpine', 'state': 'California', 'site_comments': 'beginDate=10/1/1990 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160502010201|HUD=16050302|TimeZone=-8.0|actonId=19L40S|shefId=MNPC1|stationTriplet=633:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.60870361328125 38.66830062866211),-119.60870361328125,38.66830062866211,14.0,-10.333333333333336
697_CA_SNTL,697_CA_SNTL,Poison Flat,SNOTEL,2357.932861328125,"{'county': 'Alpine', 'state': 'California', 'site_comments': 'beginDate=10/1/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160502010102|HUD=16050201|TimeZone=-8.0|actonId=19L06S|shefId=XXXC1|stationTriplet=697:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.6262435913086 38.505760192871094),-119.6262435913086,38.505760192871094,27.0,-8.0
724_CA_SNTL,724_CA_SNTL,Rubicon #2,SNOTEL,2322.271240234375,"{'county': 'El Dorado', 'state': 'California', 'site_comments': 'beginDate=10/1/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160501010402|HUD=16050101|TimeZone=-8.0|actonId=20L02S|shefId=RUBC1|stationTriplet=724:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-120.13139343261719 38.999271392822266),-120.13139343261719,38.999271392822266,33.0,-9.10526315789474
771_CA_SNTL,771_CA_SNTL,Sonora Pass,SNOTEL,2673.095947265625,"{'county': 'Mono', 'state': 'California', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160503020104|HUD=16050302|TimeZone=-8.0|actonId=19L07S|shefId=SRAC1|stationTriplet=771:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.60030364990234 38.310211181640625),-119.60030364990234,38.310211181640625,39.0,-9.166666666666664
778_CA_SNTL,778_CA_SNTL,Spratt Creek,SNOTEL,1848.00244140625,"{'county': 'Alpine', 'state': 'California', 'site_comments': 'beginDate=10/1/1983 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160502010107|HUD=16050201|TimeZone=-8.0|actonId=19L39S|shefId=SPCC1|stationTriplet=778:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.81741333007812 38.6662712097168),-119.81741333007812,38.6662712097168,0.0,-4.260869565217392
784_CA_SNTL,784_CA_SNTL,Squaw Valley G.C.,SNOTEL,2442.3623046875,"{'county': 'Placer', 'state': 'California', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160501020202|HUD=16050102|TimeZone=-8.0|actonId=20K30S|shefId=SQWC1|stationTriplet=784:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-120.26576232910156 39.18986129760742),-120.26576232910156,39.18986129760742,64.0,-9.950000000000003
